Category,Count,Source,ACS_Year,Geography
Total:,83816088,B15011_Degree_Field,2023,United States
Total:!!Male:,39305778,B15011_Degree_Field,2023,United States
Total:!!Male:!!25 to 39 years:,12490133,B15011_Degree_Field,2023,United States
Total:!!Male:!!25 to 39 years:!!Science and Engineering,5889014,B15011_Degree_Field,2023,United States
Total:!!Male:!!25 to 39 years:!!Science and Engineering Related Fields,732742,B15011_Degree_Field,2023,United States
Total:!!Male:!!25 to 39 years:!!Business,2684903,B15011_Degree_Field,2023,United States
Total:!!Male:!!25 to 39 years:!!Education,346227,B15011_Degree_Field,2023,United States
"Total:!!Male:!!25 to 39 years:!!Arts, Humanities, and Other",2837247,B15011_Degree_Field,2023,United States
Total:!!Male:!!40 to 64 years:,17580784,B15011_Degree_Field,2023,United States
Total:!!Male:!!40 to 64 years:!!Science and Engineering,7673450,B15011_Degree_Field,2023,United States
Total:!!Male:!!40 to 64 years:!!Science and Engineering Related Fields,1042395,B15011_Degree_Field,2023,United States
Total:!!Male:!!40 to 64 years:!!Business,4333389,B15011_Degree_Field,2023,United States
Total:!!Male:!!40 to 64 years:!!Education,778898,B15011_Degree_Field,2023,United States
"Total:!!Male:!!40 to 64 years:!!Arts, Humanities, and Other",3752652,B15011_Degree_Field,2023,United States
Total:!!Male:!!65 years and over:,9234861,B15011_Degree_Field,2023,United States
Total:!!Male:!!65 years and over:!!Science and Engineering,4070440,B15011_Degree_Field,2023,United States
Total:!!Male:!!65 years and over:!!Science and Engineering Related Fields,506629,B15011_Degree_Field,2023,United States
Total:!!Male:!!65 years and over:!!Business,2108886,B15011_Degree_Field,2023,United States
Total:!!Male:!!65 years and over:!!Education,889898,B15011_Degree_Field,2023,United States
"Total:!!Male:!!65 years and over:!!Arts, Humanities, and Other",1659008,B15011_Degree_Field,2023,United States
Total:!!Female:,44510310,B15011_Degree_Field,2023,United States
Total:!!Female:!!25 to 39 years:,15208681,B15011_Degree_Field,2023,United States
Total:!!Female:!!25 to 39 years:!!Science and Engineering,5151144,B15011_Degree_Field,2023,United States
Total:!!Female:!!25 to 39 years:!!Science and Engineering Related Fields,2203681,B15011_Degree_Field,2023,United States
Total:!!Female:!!25 to 39 years:!!Business,2448514,B15011_Degree_Field,2023,United States
