Date,UNRATE,U6RATE,CIVPART,LNS14000036,CGBD2024
2020-01-01,3.6,7.0,63.3,7.0,5.1
2020-02-01,3.5,7.0,63.3,6.4,4.7
2020-03-01,4.4,8.8,62.6,8.5,4.2
2020-04-01,14.8,22.9,60.1,25.5,17.2
2020-05-01,13.2,21.1,60.8,23.0,15.6
2020-06-01,11.0,18.0,61.5,19.6,20.4
2020-07-01,10.2,16.5,61.5,18.0,17.6
2020-08-01,8.4,14.2,61.7,13.9,13.0
2020-09-01,7.8,12.8,61.4,12.5,9.9
2020-10-01,6.9,12.1,61.7,11.0,7.9
2020-11-01,6.7,11.9,61.5,10.7,6.6
2020-12-01,6.7,11.7,61.5,11.3,8.5
2021-01-01,6.4,11.2,61.4,9.9,8.6
2021-02-01,6.2,11.1,61.4,9.6,8.6
2021-03-01,6.1,10.8,61.5,10.3,7.2
2021-04-01,6.1,10.3,61.6,10.7,7.9
2021-05-01,5.8,10.1,61.6,10.2,8.1
2021-06-01,5.9,9.8,61.7,9.1,10.2
2021-07-01,5.4,9.2,61.8,9.1,9.4
2021-08-01,5.1,8.8,61.7,8.9,7.3
2021-09-01,4.7,8.4,61.7,7.7,6.9
2021-10-01,4.5,8.2,61.8,7.1,6.7
2021-11-01,4.1,7.7,61.9,7.3,4.9
2021-12-01,3.9,7.3,62.0,7.2,2.3
2022-01-01,4.0,7.1,62.2,7.3,2.8
2022-02-01,3.9,7.2,62.3,7.4,4.6
2022-03-01,3.7,7.0,62.4,7.6,4.7
2022-04-01,3.7,7.0,62.2,7.2,5.7
2022-05-01,3.6,7.1,62.3,6.7,4.8
2022-06-01,3.6,6.7,62.2,6.9,9.1
2022-07-01,3.5,6.8,62.1,6.4,7.6
2022-08-01,3.6,6.9,62.3,6.8,5.3
2022-09-01,3.5,6.7,62.2,6.9,6.3
2022-10-01,3.6,6.7,62.2,6.8,5.7
2022-11-01,3.6,6.7,62.1,6.8,5.2
2022-12-01,3.5,6.6,62.3,7.4,4.2
2023-01-01,3.5,6.7,62.4,7.1,4.9
2023-02-01,3.6,6.8,62.5,6.8,4.6
2023-03-01,3.5,6.7,62.6,6.6,5.4
2023-04-01,3.4,6.6,62.6,5.5,4.2
2023-05-01,3.6,6.7,62.6,6.2,4.4
2023-06-01,3.6,6.9,62.6,6.1,7.3
2023-07-01,3.5,6.7,62.6,6.8,7.8
2023-08-01,3.7,7.1,62.8,7.0,7.1
2023-09-01,3.7,7.0,62.7,7.1,6.7
2023-10-01,3.9,7.2,62.6,6.9,6.0
2023-11-01,3.7,7.0,62.8,6.6,5.7
2023-12-01,3.8,7.2,62.5,6.4,3.8
2024-01-01,3.7,7.2,62.5,6.0,4.8
2024-02-01,3.9,7.3,62.6,7.2,5.3
2024-03-01,3.9,7.3,62.7,7.2,6.2
2024-04-01,3.9,7.4,62.6,6.7,5.0
2024-05-01,3.9,7.4,62.6,7.9,6.2
2024-06-01,4.1,7.4,62.6,7.5,8.1
2024-07-01,4.2,7.8,62.7,7.7,8.7
2024-08-01,4.2,7.8,62.7,7.8,9.0
2024-09-01,4.1,7.7,62.7,7.0,6.8
2024-10-01,4.1,7.7,62.5,7.8,7.2
2024-11-01,4.2,7.7,62.4,7.9,5.5
2024-12-01,4.1,7.6,62.5,7.5,4.1
2025-01-01,4.0,7.5,62.6,8.0,5.4
2025-02-01,4.2,8.0,62.5,8.3,7.4
2025-03-01,4.2,7.9,62.5,7.6,6.3
2025-04-01,4.2,7.8,62.6,8.2,4.4
2025-05-01,4.3,7.8,62.4,8.2,6.1
2025-06-01,4.1,7.7,62.3,8.2,7.3
2025-07-01,4.3,7.9,62.2,7.9,8.5
2025-08-01,4.3,8.1,62.3,9.2,9.3
2025-09-01,4.4,8.1,62.5,9.2,9.7
2025-10-01,,,,,
2025-11-01,4.5,8.7,62.5,8.3,6.8
2025-12-01,4.4,8.4,62.4,8.2,5.7
2026-01-01,4.3,8.0,62.5,7.1,5.5
